,brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
148,dell,Dell Inspiron 3525 ,31850,,AMD,athlon,3.0,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
149,samsung,Samsung Galaxy Book2 Pro 360 15 ,129990,74.0,Intel,i7,12.0,8,16.0,16 ,LPDDR5,SSD,512.0,15.6, 1080 x 1920 ,Windows 11 ,1.0
150,hp,HP Pavilion 15-EC2146AX Gaming ,73829,72.0,AMD,ryzen,5.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
151,infinix,Infinix INBook X1 XL11 ,37490,,Intel,i5,10.0,4,8.0,8 ,LPDDR4X,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
152,dell,Dell Inspiron 3511 ,59306,61.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
153,hp,HP 245 G8 ‎6E3Z1PA ,26490,,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,D,1.0
154,apple,Apple MacBook Pro 16 ,201498,82.0,Intel,i9,9.0,8,32.0,32 ,DDR4,SSD,2048.0,16.0, 3072 x 1920 ,Mac Catalina ,1.0
155,apple,Apple MacBook Pro 16 ,172775,73.0,Intel,i7,9.0,6,16.0,16 ,DDR4,SSD,1024.0,16.0, 3072 x 1920 ,Mac Catalina ,1.0
156,asus,Asus Vivobook Pro 16 OLED K6602HC-N1902WS Gaming ,99990,75.0,Intel,i9,11.0,8,16.0,16 ,DDR4,SSD,512.0,16.0, 1200 x 1920 ,Windows 11 ,1.0
157,acer,Acer Aspire 5 A515-57 NX.K2VSI.002 ,42990,,Intel,i3,12.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
158,infinix,Infinix INBook X2 Plus XL25 ,30990,,Intel,i3,11.0,2,8.0,8 ,LPDDR4X,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
159,infinix,Infinix INBook X2 Plus XL25 ,47990,,Intel,i5,11.0,4,8.0,8 ,LPDDR4X,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
160,infinix,Infinix INBook X2 Plus XL25 ,52990,,Intel,i7,11.0,4,16.0,16 ,LPDDR4X,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
161,honor,Honor MagicBook 14 M-WFQ9AHNE ,44990,,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
162,dell,Dell Inspiron 3520 D560879WIN9S ,67990,62.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
163,lenovo,Lenovo IdeaPad Gaming 3 82K201V2IN ,76990,74.0,AMD,ryzen,5.0,8,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
164,asus,Asus Vivobook Pro 15 OLED M3500QC-L1461WS Gaming ,69500,69.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
165,asus,Asus VivoBook 14 2022 X1402ZA-EK391WS ,44990,60.0,Intel,i3,12.0,10,8.0,8 ,DDR4,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
166,msi,MSI Thin GF63 12HW-004IN Gaming ,73490,60.0,Intel,i5,12.0,12,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
167,lenovo,Lenovo IdeaPad Gaming 3 82SA00B2IN ,99918,79.0,Intel,i5,12.0,14,16.0,16 ,DDR4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
168,chuwi,Chuwi HeroBook Air ,15990,,Intel,,,2,4.0,4 ,RAM,SSD,128.0,14.1, 1366 x 768 ,Windows 11 ,0.08
169,acer,Acer Extensa 15 EX215-54 ,33329,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
170,asus,Asus VivoBook 15 X515JA-EJ382WS ,33690,,Intel,i3,10.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
171,apple,Apple MacBook Air M2 2022 ,150990,,Apple,m2,,8,16.0,16 ,Unified,SSD,512.0,13.6, 2560 x 1664 ,Mac ,1.0
172,hp,HP 15s-fr2514TU ,36990,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
173,hp,HP 15s-dr3506TU ,43990,61.0,Intel,i3,11.0,2,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
174,dell,Dell Inspiron 3525 ,41100,63.0,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
175,hp,HP Victus 15-fa0350TX ,76990,75.0,Intel,i5,12.0,8,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
176,lenovo,Lenovo Yoga Slim 7 Pro 82NC00EWIN ,69329,62.0,Intel,i5,11.0,4,16.0,16 ,LPDDR4x,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
177,hp,HP Pavilion 15-eg2039TU ,89990,66.0,Intel,i7,12.0,12,16.0,16 ,DDR4,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
178,asus,Asus Vivobook S15 OLED S3502ZA-L502WS ,72400,65.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
179,asus,Asus Vivobook 15 2022 X1502ZA-BQ502WS ,56825,63.0,Intel,i5,12.0,12,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
180,avita,Avita Satus Ultimus S111 ,16990,,Intel,celeron,,2,4.0,4 ,DDR4,SSD,128.0,14.1, 1920 x 1080 ,Windows 11 ,1.0
181,hp,HP Pavilion 14-ec1003AU ,52545,60.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
182,hp,HP 14s-fq1089au ,39990,,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
183,apple,Apple MacBook Air 2020 Z124J001KD ,104990,,Apple,m1,,8,16.0,16 ,DDR4,SSD,256.0,13.3, 2560 x 1600 ,Mac ,1.0
184,infinix,Infinix INBook X1 XL12 ,46990,,Intel,i7,10.0,4,16.0,16 ,LPDDR4X,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
185,realme,Realme Book Slim ,46990,,Intel,i3,11.0,2,8.0,8 ,LPDDR4x,SSD,256.0,14.0, 1440 x 2160 ,Windows 10 ,1.0
186,dell,Dell Inspiron 5518 ,67990,71.0,Intel,i5,11.0,4,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
187,hp,HP 11A-NA0002MU Chromebook,18629,,MediaTek,mt8183,,8,4.0,4 ,DDR4,Hard Disk,,,,Chrome ,
188,lenovo,Lenovo V15 82KDA01UIH ,32990,,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,D,1.0
189,hp,HP 15s-GR0012AU ,44990,62.0,AMD,ryzen,3.0,2,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 10 ,
190,huawei,Huawei Qingyun L410 ,44990,,HiSilicon,kirin,,,8.0,8 ,RAM,SSD,512.0,14.0, 1920 x 1080 ,Deepin ,1.0
191,apple,Apple MacBook Air 2020 MGN73HN ,104990,,Apple,m1,,8,8.0,8 ,DDR4,SSD,512.0,13.3, 2560 x 1600 ,Mac ,1.0
192,hp,HP EliteBook 840 G6,90464,,Intel,i5,8.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 10 ,3.0
193,hp,HP Envy x360 15-ew0048TU ,109990,73.0,Intel,i7,12.0,10,16.0,16 ,DDR4,SSD,1024.0,15.6, 2880 x 1800 ,Windows 11 ,1.0
194,asus,Asus Vivobook 15 2022 X1502ZA-EJ514WS ,56490,62.0,Intel,i5,12.0,10,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
195,infinix,Infinix Zero Book Series ZL12 ,64490,63.0,Intel,i7,12.0,14,16.0,16 ,LPDDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows ,1.0
196,dell,Dell G15-5521 D560897WIN9S Gaming ,138990,71.0,Intel,i9,12.0,14,16.0,16 ,LPDDR5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
197,asus,Asus Vivobook 15 OLED X1505ZA-L1511WS ,67500,61.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
198,microsoft,Microsoft Surface Pro 9 QEZ-00065 ,99999,,Intel,i5,12.0,10,8.0,8 ,LPDDR5,SSD,256.0,13.0, 2880 x 1920 ,Windows 11 ,1.0
199,hp,HP Victus 15-fb0082AX Gaming ,71990,72.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
200,acer,Acer One 14 Z2-493 Business ,39990,,AMD,ryzen,3.0,4,16.0,16 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
201,dell,Dell Inspiron 5320 ,76990,66.0,Intel,i5,12.0,12,16.0,16 ,DDR5,SSD,512.0,13.3, 2560 x 1600 ,Windows 11 ,1.0
202,asus,Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming ,89990,75.0,AMD,ryzen,5.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
203,msi,MSI Pulse GL66 12UEK-898IN Gaming ,125990,75.0,Intel,i9,12.0,14,16.0,16 ,DDR4,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,2.0
204,lenovo,Lenovo IdeaPad Slim 3 81X800LCIN ,34490,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
205,asus,Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS ,198490,88.0,Intel,i7,12.0,14,16.0,16 ,DDR5,SSD,1024.0,16.0, 3840 x 2400 ,Windows 11 ,1.0
206,msi,MSI Bravo 15 B5DD-410IN Gaming ,49990,68.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
207,lenovo,Lenovo Ideapad Slim 3 82H802KVIN ,53209,,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
208,infinix,Infinix INBook X1 Neo ,20990,,Intel,celeron,,4,4.0,4 ,LPDDR4X,SSD,128.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
209,lenovo,Lenovo IdeaPad 3 14ITL6 82H701DYIN ,37990,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
210,acer,Acer Aspire 3 A315-23 UN.HVTSI.013 ,26990,,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1920 x 1200 ,Windows 11 ,1.0
211,hp,HP 15s-eq1560AU ,37990,61.0,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
212,dell,Dell Vostro 5625 laptop,52290,71.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
213,hp,HP Pavilion 14-eh0024TU ,93029,74.0,Intel,i7,12.0,14,16.0,16 ,DDR4,SSD,1024.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
214,lenovo,Lenovo IdeaPad Slim 3 82H701DNIN ,37990,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
215,asus,Asus ZenBook Pro Duo 15 OLED 2022 UX582ZM-H701WS ,199990,,Intel,i7,12.0,14,32.0,32 ,DDR4,SSD,1024.0,15.6, 3840 x 2160 ,Windows 11 ,2.0
216,hp,HP Victus 15-fa0354TX ,96099,63.0,Intel,i7,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
217,asus,Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming ,81990,67.0,Intel,i5,12.0,8,16.0,16 ,DDR5,SSD,512.0,15.6, 1080 x 1920 ,Windows 11 ,1.0
218,lenovo,Lenovo IdeaPad Slim 3 82RK006DIN ,42026,,Intel,i3,12.0,6,8.0,8 ,RAM,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
219,hp,HP Victus 16-e0650AX Gaming ,68499,74.0,AMD,ryzen,5.0,8,8.0,8 ,DDR4,SSD,512.0,16.1, 1920 x 1080 ,Windows 11 ,1.0
220,acer,Acer Nitro 5 AN515-56 Gaming ,62990,73.0,Intel,i5,11.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
221,asus,Asus VivoBook 14 2022 X1402ZA-EB311WS ,47990,60.0,Intel,i3,12.0,10,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
222,asus,Asus Vivobook 16X 2022 M1603QA-MB711WS ,66990,72.0,AMD,ryzen,5.0,8,16.0,16 ,DDR4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
223,hp,HP Pavilion 15-eg2036TU ,69990,63.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
224,asus,Asus TUF Gaming A15 FA506ICB-HN005W ,69990,68.0,AMD,ryzen,4.0,8,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
225,asus,Asus Vivobook 15 Touch X515EA-EZ311WS ,41990,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
226,asus,Asus TUF Gaming F15 FX577ZM-HQ067WS ,122990,81.0,Intel,i7,12.0,14,16.0,16 ,DDR5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
227,acer,Acer Aspire Vero AV15-51-5155 ,49990,66.0,Intel,i5,11.0,4,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
228,apple,Apple MacBook Air 2022 ,131990,,Apple,m2,,8,8.0,8 ,Unified,SSD,512.0,13.6, 2560 x 1664 ,Mac ,1.0
229,asus,Asus TUF Gaming F15 FA506IHRB-HN079W Gaming ,54790,72.0,AMD,ryzen,4.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
230,samsung,Samsung Galaxy Book2 ,79990,63.0,Intel,i5,12.0,12,8.0,8 ,LPDDR4x,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
231,samsung,Samsung Galaxy Book2 15 ,61990,60.0,Intel,i5,12.0,10,8.0,8 ,LPDDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
232,lenovo,Lenovo IdeaPad 3 81WQ00MQIN ,27142,,Intel,celeron,,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1366 x 768 ,Windows 11 ,1.0
233,dell,Dell G15-5520 ,84990,67.0,Intel,i5,12.0,12,16.0,16 ,DDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
234,hp,HP Pavilion 15-EG2035TU ,71999,67.0,Intel,i5,12.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
235,acer,Acer Nitro 5 AN515-58 Gaming ,77559,69.0,Intel,i5,12.0,8,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
236,asus,Asus TUF Gaming A15 2021 FA506QM-HN124W ,98490,75.0,AMD,ryzen,5.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
237,dell,Dell Vostro 5625 laptop,62490,72.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
238,samsung,Samsung Galaxy Book Go ,32990,,Qualcomm,qualcomm,2.0,,4.0,4 ,LPDDR4x,Hard Disk,128.0,,,Windows 11 ,1.0
239,dell,Dell Vostro 3400 ,58990,66.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
240,lenovo,Lenovo IdeaPad 3 15ITL6 82H801L3IN ,36400,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
241,xiaomi,Xiaomi Mi Notebook Ultra ,62899,66.0,Intel,i5,11.0,4,16.0,16 ,DDR4,SSD,512.0,15.6, 3200 x 2000 ,Windows 10 ,1.0
242,msi,MSI Bravo 15 B5DD-043IN Gaming ,58500,69.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
243,lenovo,Lenovo IdeaPad 3 15ITL6 82H8014BIN ,56000,61.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
244,acer,Acer Extensa EX215-31 ,22750,,Intel,pentium,,4,4.0,4 ,RAM,Hard Disk,1024.0,15.6, 768 x 1366 ,Windows 10 ,1.0
245,microsoft,Microsoft Surface ,67000,,Intel,i5,10.0,4,8.0,8 ,DDR4,SSD,256.0,12.4, 1536 x 1024 ,Windows 10 ,1.0
246,dell,Dell Precision 5550 ,184999,71.0,Intel,i7,10.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1200 ,Windows 10 ,
247,apple,Apple MacBook Pro 14 inch ,199900,,Apple,m2,,10,16.0,16 ,Unified,SSD,512.0,14.2, 3024 x 1964 ,Mac ,1.0
248,lenovo,Lenovo Yoga 9i 83B1002GIN ,174990,78.0,Intel,i7,13.0,12,16.0,16 ,LPDDR5,SSD,1024.0,14.0, 3840 x 2400 ,Windows 11 ,3.0
249,chuwi,Chuwi CoreBook X ,33990,,Intel,i3,12.0,6,16.0,16 ,DDR4,SSD,512.0,14.0, 2160 x 1440 ,Windows 11 ,1.0
250,asus,Asus Vivobook 15 X1502ZA-EJ381WS ,42990,,Intel,i3,12.0,10,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
251,hp,HP Envy x360 15-ew0037TU ,82999,72.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
252,dell,Dell G15-5520 D560897WIN9S ,149899,78.0,Intel,i9,12.0,14,16.0,16 ,DDR5,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
253,hp,HP 255 G8 Business ,27499,,AMD,athlon,3.0,2,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1366 x 768 ,Windows 11 ,1.0
254,lenovo,Lenovo E41-55 82FJ00ALIH ,18990,,AMD,athlon,3.0,2,4.0,4 ,DDR4,Hard Disk,1024.0,14.0, 1366 x 768 ,D,1.0
255,msi,MSI Katana GF66 12UC-632IN Gaming ,81990,73.0,Intel,i7,12.0,14,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
256,dell,Dell Inspiron 5620 ,98450,69.0,Intel,i7,12.0,10,16.0,16 ,DDR4,SSD,512.0,16.0, 1920 x 1080 ,Windows 11 ,1.0
257,asus,Asus ROG Strix G15 G513IE-HN088WS Gaming ,82990,69.0,AMD,ryzen,4.0,8,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
258,hp,HP Pavilion 14-dv2014TU ,69858,65.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
259,lenovo,Lenovo Ideapad Slim 3 81WD014XIN ,31990,,Intel,i3,10.0,2,4.0,4 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
260,asus,Asus VivoBook 14 X415EA-EK522WS ,49990,65.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
261,asus,Asus Vivobook 16X M1603QA-MB512WS ,54980,68.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,16.0, 1200 x 1920 ,Windows 11 ,1.0
262,dell,Dell Latitude 3430 ,108000,,Intel,i5,12.0,10,8.0,8 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
263,lenovo,Lenovo Legion 5 Pro 82RF00E1IN Gaming ,218110,,Intel,i7,12.0,14,32.0,32 ,DDR5,SSD,1024.0,16.0, 2560 x 1600 ,Windows 11 ,1.0
264,xiaomi,Xiaomi Book Air 13 ,68990,66.0,Intel,i5,12.0,10,16.0,16 ,LPDDR5,SSD,512.0,13.3, 2880 x 1800 ,Windows 11 ,
265,dell,Dell Inspiron 5420 ,79490,,Intel,i7,12.0,10,16.0,16 ,RAM,SSD,512.0,14.0, 1920 x 1200 ,Windows 11 ,1.0
266,hp,HP Pavilion 15-eg2018TX ,59175,,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
267,microsoft,Microsoft Surface ,98990,,Intel,i5,12.0,10,8.0,8 ,RAM,SSD,256.0,13.5, 2256 x 1504 ,Windows 11 ,1.0
268,infinix,Infinix INBook X2 Plus XL25 ,33990,,Intel,i3,11.0,2,8.0,8 ,LPDDR4X,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
269,hp,HP Omen 17-ck1023TX Gaming ,309990,85.0,Intel,i9,12.0,,32.0,32 ,DDR5,SSD,2048.0,16.1, 2560 x 1440 ,Windows 11 ,1.0
270,lenovo,Lenovo Legion 5 82RB00K8IN ,141990,86.0,Intel,i7,12.0,14,16.0,16 ,DDR5,SSD,1024.0,15.6, 2560 x 1600 ,Windows 11 ,1.0
271,lenovo,Lenovo IdeaPad Gaming 3 82K201YAIN ,51018,69.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
272,asus,Asus TUF F15 FA507RE-HN043WS 2022 Gaming ,89990,79.0,AMD,ryzen,6.0,8,16.0,16 ,DDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
273,lenovo,Lenovo E41-55 AMD ,22999,,AMD,athlon,,2,8.0,8 ,RAM,Hard Disk,1024.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
274,honor,Honor MagicBook X 14 2022 ,52999,65.0,Intel,i5,12.0,10,16.0,16 ,LPDDR4x,SSD,512.0,14.0, 2240 x 1400 ,Windows 11 ,1.0
275,honor,Honor MagicBook X 16 2022 ,52999,63.0,Intel,i5,12.0,10,16.0,16 ,LPDDR4x,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
276,hp,HP Envy x360 13-bf0078TU ,80990,65.0,Intel,i5,12.0,10,8.0,8 ,LPDDR4x,SSD,512.0,13.3, 1920 x 1080 ,Windows 11 ,1.0
277,lenovo,Lenovo IdeaPad Gaming 3 82K1019BIN ,68989,71.0,Intel,i5,11.0,4,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
278,msi,MSI Katana GF66 12UD-640IN Gaming ,82500,76.0,Intel,i5,12.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
279,lenovo,Lenovo V15 Gen 2 ,40871,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.0, 1920 x 1080 ,Windows 11 ,1.0
280,msi,MSI Vector GP66 12UEO-646IN Gaming ,122802,85.0,Intel,i7,12.0,14,16.0,16 ,DDR5,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
281,acer,Acer Predator Helios 300 PH315-55 Gaming ,159990,76.0,Intel,i9,12.0,14,16.0,16 ,DDR5,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,1.0
282,xiaomi,Xiaomi Notebook Pro 120G ,76490,73.0,Intel,i5,12.0,8,16.0,16 ,LPDDR5,SSD,512.0,14.0, 2560 x 1600 ,Windows 11 ,1.0
283,asus,Asus VivoBook Pro 15 OLED K6500ZE-L501WS ,92990,69.0,Intel,i5,12.0,8,16.0,16 ,LPDDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
284,msi,MSI Modern 14 B5M-242IN ,43400,,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
285,lenovo,Lenovo IdeaPad Slim 3 81X800LAIN ,38500,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
286,lenovo,Lenovo IdeaPad 3 82RK0064IN ,58099,60.0,Intel,i5,12.0,10,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
287,dell,Dell Latitude 5320 Business ,102400,62.0,Intel,i5,,4,8.0,8 ,DDR4,SSD,512.0,13.3, 1920 x 1080 ,Windows 10 ,1.0
288,asus,Asus ROG Zephyrus G14 2022 GA402RK-L8148WS Gaming ,199990,87.0,AMD,ryzen,6.0,8,32.0,32 ,DDR5,SSD,1024.0,14.0, 2560 x 1600 ,Windows 11 ,1.0
289,msi,MSI Thin GF63 11UC-867IN Gaming ,56890,67.0,Intel,i5,11.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,2.0
290,hp,HP 15s-fq2672TU ,41990,61.0,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
291,hp,HP 14s-fq0568AU ,25829,,AMD,athlon,3.0,2,8.0,8 ,DDR4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
292,acer,Acer Predator Helios 500 Ph517-52 Gaming ,432159,,Intel,i9,11.0,8,64.0,64 ,DDR4,Hard Disk,1024.0,17.3, 3840 x 2160 ,Windows 10 ,
293,lenovo,Lenovo IdeaPad Gaming 3 82K10198IN ,53918,68.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
294,hp,HP 15s-fq2673TU ,43210,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
295,hp,HP 15s- fr2512TU ,42300,,Intel,i3,11.0,4,8.0,8 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
296,lenovo,Lenovo V15 82KBA03TIH ,38790,,Intel,i3,11.0,2,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
